585,658,626,629,822,649,648,626,632
584,673,632,631,825,646,653,629,646
584,678,640,636,826,643,650,625,640
583,674,642,620,818,644,646,635,657
587,681,638,621,826,644,645,632,653
582,675,633,609,825,648,643,631,654
573,688,640,617,820,645,641,632,657
583,670,638,625,820,646,640,632,651
590,666,642,623,817,645,642,646,657
591,677,638,626,817,653,635,637,656
607,619,603,637,841,659,629,554,639
604,623,610,643,835,652,631,557,638
591,630,607,621,840,652,629,619,622
580,608,623,633,836,643,628,556,634
578,597,624,627,834,643,628,559,635
586,620,596,613,840,638,629,559,639
597,630,606,624,843,659,615,562,636
589,604,588,621,840,643,640,567,642
594,650,581,616,840,641,627,552,647
589,626,630,636,836,643,631,559,638
580,576,578,623,826,642,578,573,595
576,575,596,609,818,637,575,565,597
571,614,553,614,820,609,580,533,561
587,577,557,611,817,626,582,551,571
577,549,543,610,816,630,565,552,599
564,550,559,606,821,641,573,551,601
558,555,577,628,821,633,583,553,601
572,555,548,575,813,626,556,536,584
566,553,580,645,824,628,553,542,602
578,582,550,628,814,602,552,550,567
524,570,569,578,776,579,602,559,576
527,571,579,589,790,578,610,574,581
546,590,584,546,733,579,570,559,609
550,579,578,556,733,586,584,572,608
522,579,574,581,772,600,580,596,578
528,597,582,601,761,605,570,593,589
522,548,572,561,778,576,579,555,575
517,544,553,573,772,593,574,563,581
550,600,605,580,779,602,558,547,552
544,587,611,578,794,601,578,556,629
609,574,567,564,814,617,656,556,569
616,658,591,581,789,660,651,531,564
639,637,588,560,848,666,646,528,573
613,639,580,570,812,640,645,546,581
595,629,594,577,811,595,660,544,572
606,609,581,558,784,624,666,561,586
610,638,590,570,818,640,640,536,568
608,605,601,566,804,654,638,533,576
616,626,582,568,796,631,668,583,570
611,596,582,570,764,623,643,526,594
